totalTimeinminsoFar, realtimeSinceStartup, Total Time Stopped, Total Distance Travelled, Avg Speed, Speed Limit, Total Serious Collision Count,Total Vehicle-Vehicle Collision Count,Total Non-Vehicle Collision Count, Non-Collision Destroyed, No. Of Stops Passed Through, Avg Time in speed0-5mph,Avg Time in speed5-10mph,Avg Time in speed10-15mph,Avg Time in speed15-20mph, Avg Time in speed20-25mph, Avg Time in speed25-30mph, Avg Time in speed30-35mph
0.3156666,29.61177, 0.3156918,5.116973, 0, 252.5, 1,0,12,0,0,0.3156918, 0, 0,0, 0, 0, 0
0.387,33.8895, 0.3870718,0.2541802, 0, 252.5, 1,0,1,0,0,0.3870718, 0, 0,0, 0, 0, 0
0.434,36.77886, 0.4323724,24.71347, 0, 252.5, 1,0,1,0,0,0.4323724, 0, 0,0, 0, 0, 0
0.4763333,39.27747, 0.3145102,126.9439, 0.0374996, 252.5, 1,0,3,0,0,0.3233901, 0.008607463, 0.006697908,0.006483916, 0.007220316, 0.007016809, 0.006890406
0.5036666,40.91463, 0.5038047,3.508669, 0, 252.5, 1,0,2,0,0,0.5038047, 0, 0,0, 0, 0, 0
0.505,40.99384, 0.2630476,151.5284, 0.04116602, 252.5, 1,2,4,0,0,0.3011074, 0.02504894, 0.01975231,0.009807336, 0.01020191, 0.01091708, 0.01230852
0.587,45.9184, 0.587306,0.4827966, 0, 252.5, 1,0,2,0,0,0.587306, 0, 0,0, 0, 0, 0
0.6263333,48.27502, 0.5005028,87.72223, 0.01933434, 252.5, 1,0,1,0,0,0.5059347, 0.007019332, 0.006736169,0.006333313, 0.006452532, 0.006890939, 0.006616377
0.6363333,48.88713, 0.4601632,103.9201, 0.02232757, 252.5, 1,0,7,0,1,0.4718043, 0.01668848, 0.01117356,0.009170198, 0.01464551, 0.008611277, 0.006890406
0.6613333,50.37582, 0.5008337,108.2797, 0.02278057, 252.5, 1,0,2,0,0,0.5185525, 0.01266058, 0.008467096,0.00717399, 0.00748993, 0.007807643, 0.007770934
0.6683333,50.80134, 0.3985415,191.3199, 0.03963989, 252.5, 1,3,0,0,0,0.4136501, 0.0143421, 0.01443207,0.01469846, 0.01536141, 0.01563426, 0.01597442
0.6753333,51.21387, 0.5006272,117.2689, 0.02436766, 252.5, 1,0,3,0,0,0.5098006, 0.01378604, 0.01373355,0.01527479, 0.00748993, 0.007807643, 0.007770934
0.6996667,52.67575, 0.5087101,149.0653, 0.02925276, 252.5, 1,0,2,0,1,0.5269772, 0.006990286, 0.007291262,0.007392522, 0.007082456, 0.007826855, 0.007712541
0.7229999,54.07809, 0.7224392,0.2523138, 2.522568E-05, 252.5, 1,0,1,0,0,0.7231962, 0, 0,0, 0, 0, 0
0.7243333,54.15799, 0.5004776,234.9593, 0.04516606, 252.5, 1,0,1,0,1,0.5139149, 0.01431055, 0.006697908,0.006483916, 0.006664901, 0.007572224, 0.006890406
0.732,54.62011, 0.5006635,207.6035, 0.03929817, 252.5, 1,0,2,0,1,0.509101, 0.006990286, 0.007291262,0.01059339, 0.02700534, 0.008049061, 0.007712541
