totalTimeinminsoFar, realtimeSinceStartup, Total Time Stopped, Total Distance Travelled, Avg Speed, Speed Limit, Total Serious Collision Count,Total Vehicle-Vehicle Collision Count,Total Non-Vehicle Collision Count, Non-Collision Destroyed, No. Of Stops Passed Through, Avg Time in speed0-5mph,Avg Time in speed5-10mph,Avg Time in speed10-15mph,Avg Time in speed15-20mph, Avg Time in speed20-25mph, Avg Time in speed25-30mph, Avg Time in speed30-35mph
0.328,29.532, 0.3282812,5.080428, 0, 28.14436, 1,0,14,0,0,0.3282812, 0, 0,0, 0, 0, 0
0.5036666,40.07231, 0.5039552,3.503615, 0, 28.38492, 1,0,2,0,0,0.5039552, 0, 0,0, 0, 0, 0
0.7413333,54.33664, 0.7414379,0.6777832, 0, 24.84115, 1,0,2,0,0,0.7414379, 0, 0,0, 0, 0, 0
0.95,66.85817, 0.9501047,0.1554385, 0, 28.52317, 1,0,1,0,0,0.9501047, 0, 0,0, 0, 0, 0
1,69.86578, 1.000306,0.1490607, 5.982948E-06, 28.61888, 0,0,0,1,0,1.000306, 0, 0,0, 0, 0, 0
1,69.86781, 1.000306,0.1136518, 6.119516E-06, 29.63909, 0,0,0,1,0,1.000306, 0, 0,0, 0, 0, 0
1,69.86822, 1.000306,0.1027875, 6.119079E-06, 26.72273, 0,0,0,1,0,1.000306, 0, 0,0, 0, 0, 0
1,69.86845, 1.000306,0.1227699, 6.504367E-06, 25.23866, 0,0,0,1,0,1.000306, 0, 0,0, 0, 0, 0
1,69.86861, 1.000306,0.126904, 6.504739E-06, 27.91666, 0,0,0,1,0,1.000306, 0, 0,0, 0, 0, 0
1,69.8687, 1.000306,0.1371151, 6.123472E-06, 31.28531, 0,0,0,1,0,1.000306, 0, 0,0, 0, 0, 0
1,69.86879, 1.000306,0.1049756, 6.180691E-06, 27.3488, 0,0,0,1,0,1.000306, 0, 0,0, 0, 0, 0
1,69.86899, 1.000306,0.1366775, 6.504715E-06, 30.71871, 0,0,0,1,0,1.000306, 0, 0,0, 0, 0, 0
1,69.86913, 1.000306,0.1693478, 6.189814E-06, 24.81303, 0,0,0,1,0,1.000306, 0, 0,0, 0, 0, 0
1,69.86922, 1.000306,0.1652844, 1.213659E-05, 27.11281, 0,0,0,1,0,1.000306, 0, 0,0, 0, 0, 0
1,69.8694, 1.000306,0.2144983, 5.903116E-06, 26.89489, 0,0,0,1,0,1.000306, 0, 0,0, 0, 0, 0
1,69.86951, 1.000306,0.1407352, 1.157481E-05, 28.23255, 0,0,0,1,0,1.000306, 0, 0,0, 0, 0, 0
1,69.8696, 1.000306,0.1514391, 6.455996E-06, 27.53951, 0,0,0,1,0,1.000306, 0, 0,0, 0, 0, 0
1,69.86973, 1.000306,0.1558322, 5.903332E-06, 31.38757, 0,0,0,1,0,1.000306, 0, 0,0, 0, 0, 0
1,69.8698, 1.000306,0.1810943, 1.157658E-05, 27.33242, 0,0,0,1,0,1.000306, 0, 0,0, 0, 0, 0
1,69.8699, 1.000306,0.1547901, 6.455892E-06, 28.35152, 0,0,0,1,0,1.000306, 0, 0,0, 0, 0, 0
1,69.87007, 1.000306,0.1623521, 5.983031E-06, 25.25717, 0,0,0,1,0,1.000306, 0, 0,0, 0, 0, 0
1,69.8702, 1.000306,0.11122, 6.121827E-06, 28.65045, 0,0,0,1,0,1.000306, 0, 0,0, 0, 0, 0
