baseline_Distance Travelled,model_Distance Travelled,baseline_No. Of Stops Passed Through,model_No. Of Stops Passed Through,baseline_Non-Collision Destroyed,model_Non-Collision Destroyed,baseline_Non-Vehicle Collision Count,model_Non-Vehicle Collision Count,baseline_Serious Collision Count,model_Serious Collision Count,baseline_Speed,model_Speed,baseline_Speed Limit,model_Speed Limit,baseline_Time Stopped,model_Time Stopped,baseline_Time in speed0-5mph,model_Time in speed0-5mph,baseline_Time in speed10-15mph,model_Time in speed10-15mph,baseline_Time in speed15-20mph,model_Time in speed15-20mph,baseline_Time in speed20-25mph,model_Time in speed20-25mph,baseline_Time in speed25-30mph,model_Time in speed25-30mph,baseline_Time in speed30-35mph,model_Time in speed30-35mph,baseline_Time in speed5-10mph,model_Time in speed5-10mph,baseline_Vehicle-Vehicle Collision Count,model_Vehicle-Vehicle Collision Count,baseline_realtimeSinceStartup,model_realtimeSinceStartup,baseline_totalTimeinminsoFar,model_totalTimeinminsoFar
100.1971,929.1014,0,0.0,1,0.0,0,0.0,0,1.0,0.003087585,0.02345881,30,27.24417,1.97505,0.6910168,2.036161,0.7078811,0.04444444,0.06564809,0.03888889,0.1266722,0.07222222,0.2368661,0.1055556,0.8393676,0.0,0.7158756,0.02777778,0.02716054,2,1.0,173.9721,173.0958,2.328332,2.719666
359.2512,503.9656,0,0.0,1,0.0,0,0.0,0,1.0,0.01099234,0.01413666,30,28.63446,1.541713,1.403301,1.552824,1.44776,0.02777778,0.05803093,0.03333334,0.1021015,0.03333334,0.2063383,0.6666666,0.8548437,0.0,0.0,0.02222222,0.05039573,0,1.0,174.4748,173.0961,2.335824,2.719666
401.1687,234.8685,0,0.0,0,0.0,0,0.0,1,1.0,0.01133082,0.005613902,30,32.06859,1.61429,1.991389,1.636513,2.032427,0.03333334,0.1298884,0.06666666,0.15639,0.07217547,0.2234688,0.7094067,0.1564193,0.0,0.0,0.03316876,0.04789699,1,1.0,190.398,174.6994,2.554332,2.746333
268.405,240.6447,0,0.0,1,0.0,0,0.0,0,1.0,0.00755566,0.005708852,30,30.42768,1.94571,1.992855,1.962377,2.023806,0.03333334,0.1129656,0.01666667,0.1415782,0.02777778,0.1991149,0.5000003,0.195073,0.0,0.0,0.01111111,0.07395294,0,1.0,190.4351,174.6998,2.554999,2.746333
236.439,250.585,0,0.0,0,0.0,0,0.0,1,1.0,0.006635839,0.006164683,30,28.9352,1.925921,1.87158,1.959255,2.027441,0.05555555,0.1241176,0.08860562,0.1564701,0.1055556,0.2740331,0.3256912,0.1231282,0.0,0.0,0.03869484,0.1047692,1,6.0,191.8395,178.513,2.577666,2.81
803.4347,373.971,0,0.0,1,0.0,0,0.0,0,1.0,0.02094299,0.009393685,30,25.06021,1.050231,1.752977,1.066898,1.827477,0.04444444,0.1092771,0.04444444,0.1604138,0.04444444,0.2810025,1.544446,0.3899319,0.0,0.0,0.02222222,0.1103197,0,1.0,203.3846,182.6152,2.767333,2.878333
216.3014,364.8485,1,0.0,0,0.0,0,0.0,1,1.0,0.005632992,0.008924589,30,26.83548,1.832838,2.110413,1.959598,2.164016,0.1988866,0.07298853,0.2105238,0.08805382,0.1659309,0.1033163,0.04444444,0.6040593,0.0,0.0,0.2095574,0.06156432,4,1.0,204.8694,195.5669,2.790999,3.094333
346.5363,402.8634,0,0.0,0,1.0,0,0.0,1,0.0,0.008550197,0.008164576,30,26.11857,1.968323,2.268446,2.045136,2.310059,0.08852681,0.06655979,0.09444445,0.08923429,0.09444445,0.18637,0.5222226,0.2354715,0.0,0.3122846,0.08812742,0.06718225,1,0.0,213.9839,205.9595,2.935666,3.267333
285.3213,626.8846,0,0.0,0,0.0,0,0.0,1,1.0,0.00698108,0.01440271,30,23.53679,2.206312,1.773953,2.256183,1.809138,0.06659354,0.05892213,0.06643991,0.07832102,0.09412542,0.1475603,0.4331027,1.130423,0.0,0.0,0.04975591,0.04349392,2,1.0,216.1885,205.983,2.969999,3.267667
223.9451,359.7659,1,0.0,1,0.0,0,0.0,0,1.0,0.005358487,0.008179914,30,29.20166,2.329068,2.214137,2.390178,2.271316,0.08868692,0.1178652,0.1108809,0.1467828,0.1718733,0.2430927,0.2038292,0.3656185,0.0,0.03794939,0.0831456,0.0885583,1,2.0,221.1788,206.1989,3.050666,3.271333
251.4285,335.8275,0,0.0,0,0.0,0,0.0,1,1.0,0.00582794,0.006546316,30,28.58723,2.483877,2.330207,2.511655,2.364946,0.04444444,0.1003202,0.03888889,0.1512517,0.08888889,0.3023634,0.3996312,0.3288008,0.0,0.0,0.05,0.05340109,1,2.0,226.2794,207.988,3.135332,3.301333
